Country,Attribute,Value
Argentina,1990,287931.15
Argentina,1991,299381.25
Argentina,1992,304366.98
Argentina,1993,311081.86
Argentina,1994,316391.52
Argentina,1995,319937.2
Argentina,1996,334546.76
Argentina,1997,355788.61
Argentina,1998,352828.06
Argentina,1999,347358.83
Argentina,2000,349174.61
Argentina,2001,349337.89
Argentina,2002,345320.62
Argentina,2003,365956.29
Argentina,2004,381311.7
Argentina,2005,394206.69
Argentina,2006,411745.74
Argentina,2007,429707.51
Argentina,2008,429225.23
Argentina,2009,423546.97
Argentina,2010,405405.12
Argentina,2011,393434.7
Argentina,2012,372200.67
Argentina,2013,377824.07
Argentina,2014,368295.25
Australia,1990,626253.789
Australia,1991,610773.003
Australia,1992,546688.375
Australia,1993,524693.634
Australia,1994,520808.217
Australia,1995,504056.917
Australia,1996,510448.392
Australia,1997,514810.424
Australia,1998,513539.423
Australia,1999,530836.249
Australia,2000,555489.946
Australia,2001,573384.054
Australia,2002,573076.786
Australia,2003,585747.636
Australia,2004,579608.405
Australia,2005,608646.542
Australia,2006,621730.186
Australia,2007,633487.195
Australia,2008,622402.857
Australia,2009,624317.993
Australia,2010,603247.575
Australia,2011,582074.533
Australia,2012,566439.399
Australia,2013,549887.674
Australia,2014,548935.921
Australia,2015,537823.577
Australia,2016,513732.804
Australia,2017,512506.387
Australia,2018,518521.948
Australia,2019,505803.692
Australia,2020,487591.186
Austria,1990,66358.61
Austria,1991,65255.472
Austria,1992,63641.637
Austria,1993,63679.409
Austria,1994,64047.325
Austria,1995,66006.6
Austria,1996,71841.656
Austria,1997,62976.64
Austria,1998,64126.861
Austria,1999,60287.865
Austria,2000,63523.565
Austria,2001,64581.307
Austria,2002,71374.19
Austria,2003,86228.043
Austria,2004,81555.882
Austria,2005,81259.303
Austria,2006,84560.195
Austria,2007,81567.758
Austria,2008,82267.186
Austria,2009,77125.833
Austria,2010,80372.542
Austria,2011,77848.513
Austria,2012,75803.618
Austria,2013,77234.516
Austria,2014,73849.418
Austria,2015,76285.631
Austria,2016,77423.91
Austria,2017,79002.759
Austria,2018,75419.521
Austria,2019,77111.427
Austria,2020,72339.103
Belgium,1990,142750.652
Belgium,1991,145936.473
Belgium,1992,145717.758
Belgium,1993,144560.186
Belgium,1994,149416.282
Belgium,1995,151312.004
Belgium,1996,154827.923
Belgium,1997,146814.48
Belgium,1998,151431.61
Belgium,1999,145678.648
Belgium,2000,147198.056
Belgium,2001,145811.482
Belgium,2002,145302.618
Belgium,2003,145706.909
Belgium,2004,146949.347
Belgium,2005,143902.327
Belgium,2006,141088.7
Belgium,2007,137750.939
Belgium,2008,137741.958
Belgium,2009,125279.814
Belgium,2010,133392.858
Belgium,2011,122951.486
Belgium,2012,120193.867
Belgium,2013,119644.776
Belgium,2014,113970.64
Belgium,2015,118207.487
Belgium,2016,116761.412
Belgium,2017,116563.839
Belgium,2018,117096.134
Belgium,2019,116071.567
Belgium,2020,106191.618
Bulgaria,1990,80468.085
Bulgaria,1991,62312.147
Bulgaria,1992,57260.555
Bulgaria,1993,56436.977
Bulgaria,1994,52526.624
Bulgaria,1995,54038.115
Bulgaria,1996,55146.306
Bulgaria,1997,51813.38
Bulgaria,1998,48075.633
Bulgaria,1999,41273.594
Bulgaria,2000,39208.654
Bulgaria,2001,44900.214
Bulgaria,2002,42015.006
Bulgaria,2003,47315.704
Bulgaria,2004,45810.753
Bulgaria,2005,45152.994
Bulgaria,2006,49204.96
Bulgaria,2007,52244.823
Bulgaria,2008,52672.972
Bulgaria,2009,43727.438
Bulgaria,2010,47022.53
Bulgaria,2011,55695.634
Bulgaria,2012,51234.665
Bulgaria,2013,48278.548
Bulgaria,2014,50308.751
Bulgaria,2015,54188.374
Bulgaria,2016,50267.407
Bulgaria,2017,53521.67
Bulgaria,2018,50262.744
Bulgaria,2019,49484.3
Bulgaria,2020,39580.398
Belarus,1990,116752.725
Belarus,1991,107734.947
Belarus,1992,97355.393
Belarus,1993,90113.453
Belarus,1994,63957.796
Belarus,1995,57604.511
Belarus,1996,58715.345
Belarus,1997,60165.634
Belarus,1998,62744.081
Belarus,1999,50184.496
Belarus,2000,48586.349
Belarus,2001,49276.024
Belarus,2002,49304.867
Belarus,2003,53951.767
Belarus,2004,55630.578
Belarus,2005,55468.896
Belarus,2006,56666.377
Belarus,2007,53522.91
Belarus,2008,55990.492
Belarus,2009,49172.918
Belarus,2010,47213.496
Belarus,2011,47777.336
Belarus,2012,50949.37
Belarus,2013,49357.292
Belarus,2014,48664.052
Belarus,2015,45280.239
Belarus,2016,48988.297
Belarus,2017,53232.027
Belarus,2018,52837.808
Belarus,2019,57946.058
Belarus,2020,51416.616
Brazil,1990,1346971.12
Brazil,1991,1232547.09
Brazil,1992,1384444.15
Brazil,1993,1458270.7
Brazil,1994,1476109.9
Brazil,1995,2490606.8
Brazil,1996,1823022.42
Brazil,1997,1544129
Brazil,1998,1818402.45
